geoid10,t10_ldb_gen1_9000,t10_ldb_gen1_0010
1001020100,0,1
1001020200,0,2
1001020300,1,9
1001020400,9,1
1001020500,9,9
1001020600,1,2
1001020700,0,0
1001020801,1,2
1001020802,0,2
1001020900,0,1
1001021000,2,0
1001021100,2,0
1003010100,0,0
1003010200,0,0
1003010300,0,2
1003010400,0,2
1003010500,0,0
1003010600,0,0
1003010701,9,9
1003010703,9,9
1003010704,9,9
1003010705,9,9
1003010800,9,9
1003010903,0,2
1003010904,0,0
1003010905,0,2
1003010906,0,1
1003011000,0,0
1003011101,1,9
1003011102,1,9
1003011201,9,9
1003011202,2,0
1003011300,1,9
1003011401,0,0
1003011403,0,0
1003011405,9,2
1003011406,9,0
1003011407,9,0
1003011408,9,2
1003011501,0,1
1003011502,0,0
1003011601,0,0
1003011602,0,0
1003990000,0,0
1005950100,9,9
1005950200,0,0
1005950300,0,0
1005950400,0,0
1005950500,9,9
1005950600,1,0
1005950700,2,2
1005950800,9,9
1005950900,0,1
1007010001,0,0
1007010002,0,1
1007010003,2,0
1007010004,0,0
1009050101,0,1
1009050102,0,0
1009050200,0,0
1009050300,2,0
1009050400,0,0
1009050500,0,0
1009050601,1,0
1009050602,1,1
1009050700,2,0
1011952100,0,0
1011952200,0,0
1011952500,2,2
1013952700,2,2
1013952800,9,9
1013952900,0,2
1013953000,2,0
1013953100,0,0
1013953200,9,0
1013953300,9,9
1013953400,0,0
1013953500,0,0
1015000200,0,1
1015000300,0,0
1015000400,2,0
1015000500,1,0
1015000600,2,0
1015000700,0,2
1015000800,2,2
1015000900,9,9
1015001000,9,9
1015001100,9,9
1015001201,9,0
1015001202,0,2
1015001300,1,0
1015001400,0,0
1015001500,0,0
1015001600,0,0
1015001700,9,9
1015001800,0,0
1015002000,2,9
1015002101,0,0
1015002102,2,9
1015002103,0,2
1015002200,0,1
1015002300,1,0
1015002400,9,9
1015002501,9,9
1015002502,9,1
1015002600,2,0
1015981901,0,0
1015981902,9,9
1015981903,9,9
1017953800,2,0
1017953900,0,0
1017954000,2,1
1017954200,9,9
1017954300,9,9
1017954400,0,0
1017954500,0,0
1017954600,0,2
1017954700,9,9
1019955701,1,2
1019955702,1,0
1019955800,9,9
1019955900,9,0
1019956000,9,0
1019956100,9,9
1021060101,0,0
1021060102,0,0
1021060200,0,2
1021060300,2,1
1021060401,0,1
1021060402,0,0
1021060500,2,0
1021060600,0,0
1021060700,0,1
1023956700,0,0
1023956800,0,2
1023956900,0,0
1023957000,0,2
1025957500,9,9
1025957601,0,0
1025957602,0,0
1025957700,0,1
1025957800,0,2
1025957901,9,9
1025957902,9,9
1025958001,2,2
1025958002,2,0
1027958900,0,2
1027959000,0,0
1027959100,9,0
1027959200,9,1
1029959500,9,9
1029959600,1,0
1029959700,0,9
1029959800,9,9
1031010100,2,0
1031010200,0,1
1031010300,1,2
1031010400,2,0
1031010500,0,0
1031010600,2,0
1031010700,2,0
1031010800,2,9
1031010900,1,0
1031011000,0,2
1031011100,1,9
1031011201,9,9
1031011202,9,9
1031011300,0,0
1033020100,1,0
1033020200,2,0
1033020300,0,0
1033020400,9,9
1033020500,0,2
1033020600,0,0
1033020701,0,2
1033020703,1,9
1033020704,1,9
1033020801,2,9
1033020802,0,0
1033020901,1,0
1033020902,1,0
1033021000,0,0
1035960200,2,2
1035960300,0,2
1035960400,0,0
1035960500,0,0
1035960600,0,0
1037961000,0,0
1037961100,0,0
1037961200,2,9
1039961600,9,2
1039961700,0,2
1039961800,0,0
1039961900,9,9
1039962000,9,9
1039962100,1,0
1039962300,2,2
1039962400,9,9
1039962500,9,0
1039962600,0,0
1039962700,0,0
1039962800,2,0
1039962900,0,0
1039963000,0,2
1041963400,1,2
1041963500,2,9
1041963600,1,0
1041963700,2,0
1041963800,0,1
1041963900,0,2
1043964100,0,0
1043964200,1,2
1043964300,9,0
1043964400,9,0
1043964500,0,0
1043964600,2,0
1043964700,0,0
1043964800,0,0
1043964900,9,9
1043965000,0,0
1043965100,0,0
1043965200,2,9
1043965300,0,9
1043965401,0,1
1043965402,0,1
1043965500,9,9
1043965600,9,9
1043965700,2,0
1045020000,1,2
1045020100,0,1
1045020200,1,0
1045020300,0,2
1045020400,9,9
1045020500,0,0
1045020700,0,0
1045020801,9,0
1045020802,9,0
1045021101,0,9
1045021102,0,1
1045021200,9,2
1045021300,9,9
1045021400,1,0
1047956100,9,0
1047956201,9,9
1047956202,9,9
1047956300,0,9
1047956400,0,0
1047956500,0,0
1047956600,0,0
1047956701,9,9
1047956702,9,9
1047956800,0,0
1047956900,0,0
1047957000,2,0
1047957100,0,0
1047957200,0,1
1047957300,0,1
1049960100,9,2
1049960200,0,2
1049960300,9,0
1049960400,9,9
1049960500,0,0
1049960600,1,2
1049960700,2,0
1049960800,2,0
1049960900,0,0
1049961000,2,9
1049961100,1,9
1049961200,9,9
1049961300,0,0
1049961400,0,1
1051030100,1,0
1051030200,2,1
1051030300,2,9
1051030400,1,2
1051030500,2,1
1051030600,0,2
1051030701,9,9
1051030702,9,9
1051030800,0,0
1051030901,0,9
1051030902,0,9
1051031000,1,1
1051031100,2,2
1051031200,1,0
1051031300,0,2
1053969800,0,1
1053969900,0,9
1053970100,9,9
1053970200,1,0
1053970300,1,9
1053970400,9,9
1053970500,1,2
1053970600,0,0
1053970700,9,2
1055000200,0,1
1055000300,0,0
1055000400,9,9
1055000500,0,0
1055000600,0,0
1055000700,0,1
1055000800,0,0
1055000900,0,0
1055001000,0,0
