"","id","msa_geoid","state_geoid","GEOID_pp"
"1",2,"42660","53","42660"
"2",3,"42660","53","42660"
"3",4,"42660","53","42660"
"4",6,"42660","53","42660"
"5",7,"42660","53","42660"
"6",8,"42660","53","42660"
"7",9,"42660","53","42660"
"8",10,"42660","53","42660"
"9",11,"42660","53","42660"
"10",12,"42660","53","42660"
"11",13,"42660","53","42660"
"12",14,"42660","53","42660"
"13",15,"42660","53","42660"
"14",16,"42660","53","42660"
"15",17,"42660","53","42660"
"16",18,"42660","53","42660"
"17",19,"42660","53","42660"
"18",20,"42660","53","42660"
"19",21,"42660","53","42660"
"20",22,"42660","53","42660"
"21",23,"42660","53","42660"
"22",24,"42660","53","42660"
"23",25,"42660","53","42660"
"24",26,"42660","53","42660"
"25",27,"42660","53","42660"
"26",28,"42660","53","42660"
"27",29,"42660","53","42660"
