"","FIPS","GeoName","year","rpp_goods","rpp_services_housing","rpp_services_other","rpp_services_utilities","rpp_all_items"
"1","0","United States",2008,"99.577","100.303","100.318","98.095","100"
"2","999","United States (Nonmetropolitan Portion)",2008,"89.839","62.454","96.698","97.342","87.129"
"3","10180","Abilene, TX (Metropolitan Statistical Area)",2008,"96.566","72.247","97.836","122.384","93.481"
"4","10420","Akron, OH (Metropolitan Statistical Area)",2008,"90.394","84.685","95.594","99.512","92.254"
"5","10500","Albany, GA (Metropolitan Statistical Area)",2008,"96.868","49.497","97.742","107.575","87.237"
"6","10540","Albany-Lebanon, OR (Metropolitan Statistical Area)",2008,"102.336","94.084","102.387","82.079","100.238"
"7","10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2008,"101.406","104.738","101.044","104.284","101.805"
"8","10740","Albuquerque, NM (Metropolitan Statistical Area)",2008,"95.923","92.843","98.94","93.283","96.695"
"9","10780","Alexandria, LA (Metropolitan Statistical Area)",2008,"96.898","61.242","98.152","112.658","91.17"
"10","10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2008,"101.335","103.713","100.652","94.754","101.13"
"11","11020","Altoona, PA (Metropolitan Statistical Area)",2008,"101.1","57.834","101.154","91.884","91.857"
"12","11100","Amarillo, TX (Metropolitan Statistical Area)",2008,"97.055","84.843","98.331","122.515","96.15"
"13","11180","Ames, IA (Metropolitan Statistical Area)",2008,"77.036","80.6","93.827","95.073","85.049"
"14","11260","Anchorage, AK (Metropolitan Statistical Area)",2008,"108.147","130.617","103.356","105.268","108.153"
"15","11460","Ann Arbor, MI (Metropolitan Statistical Area)",2008,"99.966","118.484","100.167","93.121","102.379"
"16","11500","Anniston-Oxford, AL (Metropolitan Statistical Area)",2008,"96.814","51.854","98.613","114.975","87.685"
"17","11540","Appleton, WI (Metropolitan Statistical Area)",2008,"99.051","81.312","100.002","91.703","96.391"
