variable,estimate,latitude,longitude
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.0762,-118.3236
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0246,-118.297
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.0738,-118.4768
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.0263,-118.4314
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.2293,-118.4862
is_crime_los_angeles THEFT OF IDENTITY,1,34.0599,-118.4171
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.1928,-118.5797
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.2557,-118.4111
is_crime_los_angeles THEFT OF IDENTITY,1,34.2579,-118.3163
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.0612,-118.2417
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,34.2648,-118.4979
is_crime_los_angeles THEFT OF IDENTITY,1,34.069,-118.2868
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.1766,-118.4589
"is_crime_los_angeles RAPE, FORCIBLE",1,34.2243,-118.5623
is_crime_los_angeles VEHICLE - STOLEN,1,34.024,-118.3692
is_crime_los_angeles CRIMINAL THREATS - NO WEAPON DISPLAYED,1,34.0332,-118.4242
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.0158,-118.2816
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0062,-118.4289
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.055,-118.2904
is_crime_los_angeles THEFT OF IDENTITY,1,33.7539,-118.2988
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,34.2697,-118.5175
is_crime_los_angeles BURGLARY,1,34.0608,-118.4454
is_crime_los_angeles THEFT OF IDENTITY,1,33.973,-118.2695
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,33.9633,-118.2783
is_crime_los_angeles INTIMATE PARTNER - AGGRAVATED ASSAULT,1,34.0245,-118.2143
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),1,34.0216,-118.2588
is_crime_los_angeles THEFT OF IDENTITY,1,34.0998,-118.3324
is_crime_los_angeles VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,34.0013,-118.4162
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.0747,-118.2526
"is_crime_los_angeles VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,34.0541,-118.2451
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.0111,-118.274
"is_crime_los_angeles VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,34.1007,-118.3494
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.2284,-118.4895
"is_crime_los_angeles ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,34.0189,-118.2481
is_crime_los_angeles THEFT OF IDENTITY,1,34.23,-118.5951
is_crime_los_angeles ORAL COPULATION,1,33.9613,-118.2893
is_crime_los_angeles BURGLARY,1,34.0183,-118.3556
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),1,34.1128,-118.2485
is_crime_los_angeles BATTERY - SIMPLE ASSAULT,1,34.0926,-118.3212
"is_crime_los_angeles ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,34.2542,-118.4095
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.1897,-118.4444
is_crime_los_angeles VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,34.0091,-118.3045
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.0272,-118.2322
is_crime_los_angeles THEFT OF IDENTITY,1,34.3241,-118.4795
is_crime_los_angeles THEFT OF IDENTITY,1,34.0074,-118.329
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.1817,-118.4422
is_crime_los_angeles VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,34.0209,-118.4373
is_crime_los_angeles BURGLARY,1,33.9731,-118.4226
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.0533,-118.4652
is_crime_los_angeles BURGLARY,1,33.7974,-118.2372
is_crime_los_angeles VEHICLE - STOLEN,1,34.2498,-118.3787
is_crime_los_angeles VEHICLE - STOLEN,1,34.1529,-118.4749
is_crime_los_angeles CHILD ANNOYING (17YRS & UNDER),1,34.2796,-118.3046
is_crime_los_angeles THEFT OF IDENTITY,1,34.1773,-118.6321
