GEOID,variable,estimate
01001020100,mRFEI,16.666666666666668
01001020200,mRFEI,16.666666666666668
01001020300,mRFEI,17.647058823529413
01001020400,mRFEI,13.333333333333334
01001020500,mRFEI,6.25
01001020600,mRFEI,20
01001020700,mRFEI,18.75
01001020800,mRFEI,0
01001020900,mRFEI,0
01001021000,mRFEI,50
01001021100,mRFEI,0
01003010100,mRFEI,0
01003010200,mRFEI,0
01003010300,mRFEI,12.5
01003010400,mRFEI,0
01003010500,mRFEI,15.789473684210526
01003010600,mRFEI,6.666666666666667
01003010701,mRFEI,12.5
01003010703,mRFEI,12.5
01003010704,mRFEI,0
01003010705,mRFEI,11.11111111111111
01003010800,mRFEI,21.428571428571427
01003010901,mRFEI,41.1764705882353
01003010902,mRFEI,18.181818181818183
01003011000,mRFEI,0
01003011100,mRFEI,16.666666666666668
01003011201,mRFEI,27.272727272727273
01003011202,mRFEI,20
01003011300,mRFEI,0
01003011401,mRFEI,16.666666666666668
01003011403,mRFEI,0
01003011404,mRFEI,15.789473684210526
01003011500,mRFEI,10
01003011600,mRFEI,14.285714285714286
01005950100,mRFEI,25
01005950200,mRFEI,0
01005950300,mRFEI,0
01005950400,mRFEI,0
01005950500,mRFEI,0
01005950600,mRFEI,26.31578947368421
01005950700,mRFEI,29.41176470588235
01005950800,mRFEI,66.66666666666667
01005950900,mRFEI,25
01007010000,mRFEI,28.571428571428573
01007010100,mRFEI,23.076923076923077
01007010200,mRFEI,0
01009050101,mRFEI,10
01009050102,mRFEI,9.375
01009050200,mRFEI,14.285714285714286
01009050300,mRFEI,16.666666666666668
01009050400,mRFEI,50
01009050500,mRFEI,33.333333333333336
01009050600,mRFEI,25
01009050700,mRFEI,12.5
01011952100,mRFEI,0
01011952200,mRFEI,16.666666666666668
01011952300,mRFEI,0
01011952400,mRFEI,0
01013952700,mRFEI,7.142857142857143
01013952800,mRFEI,12.5
01013952900,mRFEI,8.695652173913043
01013953000,mRFEI,0
01013953100,mRFEI,7.142857142857143
01013953200,mRFEI,18.181818181818183
01013953300,mRFEI,0
01013953400,mRFEI,25
01013953500,mRFEI,0
01015000100,mRFEI,11.764705882352942
01015000200,mRFEI,10.344827586206897
01015000300,mRFEI,8.333333333333334
01015000400,mRFEI,6.25
