var_name,acs_col,universe_col,pretty_name_count,pretty_name_proportion,interpolation
Males_16_older,A17002A_001,,Males ages 16 and older,,TRUE
males_not_in_workforce,A17002A_007,A17002A_001,Males no longer in workforce (count),Percent of males no longer in the workforce (proportion of all males 16 years and older),TRUE
total_pop,B01001_001,,Total Population (count),,TRUE
men,B01001_002,B01001_001,Male residents (count),Males (proportion of population),TRUE
males_under_5,B01001_003,B01001_002,Male residents under 5 (count),Male residents under 5 (proportion of all male residents),TRUE
males_5_to_9,B01001_004,B01001_002,Male residents 5 to 9 (count),Male residents 5 to 9 (proportion of all male residents),TRUE
males_10_to_14,B01001_005,B01001_002,Male residents 10 to 14 (count),Male residents 10 to 14 (proportion of all male residents),TRUE
males_15_to_17,B01001_006,B01001_002,Male residents 15 to 17 (count),Male residents 15 to 17 (proportion of all male residents),TRUE
males_18_to_19,B01001_007,B01001_002,Male residents 18 to 19 (count),Male residents 18 to 19 (proportion of all male residents),TRUE
males_20_to_24,B01001_008,B01001_002,Male residents 20 to 24 (count),Male residents 20 to 24 (proportion of all male residents),TRUE
males_25_to_29,B01001_009,B01001_002,Male residents 25 to 29 (count),Male residents 25 to 29 (proportion of all male residents),TRUE
males_30_to_34,B01001_010,B01001_002,Male residents 30 to 34 (count),Male residents 30 to 34 (proportion of all male residents),TRUE
males_35_to_44,B01001_011,B01001_002,Male residents 35 to 44 (count),Male residents 35 to 44 (proportion of all male residents),TRUE
males_45_to_54,B01001_012,B01001_002,Male residents 45 to 54 (count),Male residents 45 to 54 (proportion of all male residents),TRUE
males_55_to_64,B01001_013,B01001_002,Male residents 55 to 64 (count),Male residents 55 to 64 (proportion of all male residents),TRUE
males_65_to_74,B01001_014,B01001_002,Male residents 65 to 74 (count),Male residents 65 to 74 (proportion of all male residents),TRUE
males_75_to_84,B01001_015,B01001_002,Male residents 75 to 84 (count),Male residents 75 to 84 (proportion of all male residents),TRUE
